Bank Name,City,State,CERT #,Acquiring Institution,Closing Date,Updated Date
Independent National Bank,Ocala,FL,27344,"CenterState Bank of Florida, N.A.",20-Aug-10,24-Aug-10
Community National Bank at Bartow,Bartow,FL,25266,"CenterState Bank of Florida, N.A.",20-Aug-10,22-Oct-10
Palos Bank and Trust Company,Palos Heights,IL,17599,First Midwest Bank,13-Aug-10,1-Nov-10
Ravenswood Bank,Chicago,IL,34231,Northbrook Bank and Trust Company,6-Aug-10,29-Oct-10
LibertyBank,Eugene,OR,31964,Home Federal Bank,30-Jul-10,6-Aug-10
The Cowlitz Bank,Longview,WA,22643,Heritage Bank,30-Jul-10,1-Nov-10
Coastal Community Bank,Panama City Beach,FL,9619,Centennial Bank,30-Jul-10,29-Oct-10
Bayside Savings Bank,Port Saint Joe,FL,57669,Centennial Bank,30-Jul-10,22-Oct-10
Northwest Bank & Trust,Acworth,GA,57658,State Bank and Trust Company,30-Jul-10,29-Nov-10
Home Valley Bank ,Cave Junction,OR,23181,South Valley Bank & Trust,23-Jul-10,29-Oct-10
SouthwestUSA Bank ,Las Vegas,NV,35434,Plaza Bank,23-Jul-10,29-Oct-10
Community Security Bank ,New Prague,MN,34486,Roundbank,23-Jul-10,17-Nov-10
Thunder Bank ,Sylvan Grove,KS,10506,The Bennington State Bank,23-Jul-10,October 22 2010
Williamsburg First National Bank ,Kingstree,SC,17837,"First Citizens Bank and Trust Company, Inc.",23-Jul-10,22-Oct-10
Crescent Bank and Trust Company ,Jasper,GA,27559,Renasant Bank,23-Jul-10,13-Sep-10
Sterling Bank ,Lantana,FL,32536,IBERIABANK,23-Jul-10,30-Jul-10
"Mainstreet Savings Bank, FSB",Hastings,MI,28136,Commercial Bank,16-Jul-10,22-Jul-10
Olde Cypress Community Bank,Clewiston,FL,28864,CenterState Bank of Florida,16-Jul-10,29-Nov-10
Turnberry Bank,Aventura,FL,32280,NAFH National Bank,16-Jul-10,22-Oct-10
Metro Bank of Dade County,Miami,FL,25172,NAFH National Bank,16-Jul-10,29-Oct-10
First National Bank of the South,Spartanburg,SC,35383,NAFH National Bank,16-Jul-10,1-Nov-10
Woodlands Bank,Bluffton,SC,32571,Bank of the Ozarks,16-Jul-10,1-Nov-10
